id_ip,ratio_active,has_drift,drift_in_test,max_rel_dev,drift_fraction,n_drift_events
3.0,0.1686187900143927,False,False,0.0,0.0,0
5.0,0.0197280262047744,False,False,0.0,0.0,0
10.0,0.9999503697453967,False,False,0.8849641097406421,0.0,0
11.0,1.0,False,False,1.56824799969143,0.0,0
12.0,0.9964018065412676,True,False,0.9371660749036758,0.003623008586034,1
13.0,1.0,False,False,0.5523455295358719,0.0,0
14.0,0.715246414214105,False,False,0.0,0.0,0
15.0,1.0,False,False,0.5441161306068195,0.0,0
17.0,0.0828577100600526,False,False,0.0,0.0,0
18.0,0.9999255546180952,True,False,0.7442953079313959,0.0027792942577795,1
20.0,0.8844607672837361,False,False,0.0,0.0,0
21.0,0.985433520273959,True,False,1.1518894509375988,0.0528065908978113,1
24.0,0.6115439972207057,False,False,0.0,0.0,0
25.0,1.0,True,True,2.022490816017451,0.0765546677254454,4
26.0,0.9839694277631644,True,True,1.8464986095336215,0.0478435654374906,2
27.0,0.8436646979999007,False,False,0.0,0.0,0
28.0,0.8104868727976574,False,False,0.0,0.0,0
29.0,0.9999751848726984,True,False,0.491094111674267,0.0070971264082584,1
31.0,0.9999255546180952,False,False,0.5415369627637407,0.0,0
33.0,1.0,False,False,0.4306766444085199,0.0,0
34.0,0.9996774033450792,False,False,0.508236232329368,0.0,0
35.0,0.9999255546180952,False,False,0.317367058393496,0.0,0
42.0,0.9999503697453967,False,False,0.6363623035128937,0.0,0
43.0,0.0846692143530696,False,False,0.0,0.0,0
45.0,1.0,True,True,0.926074490710068,0.0186361606035038,1
46.0,0.0732294406670306,False,False,0.0,0.0,0
47.0,0.6847238076331331,False,False,0.0,0.0,0
48.0,0.0734775919400466,False,False,0.0,0.0,0
49.0,0.9986599831257136,False,False,1.5878957177523385,0.0,0
50.0,0.1339024269194501,False,False,0.0,0.0,0
51.0,0.9999503697453967,False,False,0.537661930431462,0.0,0
52.0,0.9999503697453967,False,False,0.4246284646330257,0.0,0
53.0,1.0,True,True,0.9663935435186952,0.0089582609558787,1
54.0,0.9998511092361904,False,False,0.5658510839302268,0.0,0
60.0,0.1339272420467517,False,False,0.0,0.0,0
63.0,0.2335847932899895,False,False,0.0,0.0,0
64.0,0.9999751848726984,True,False,1.135440634866818,0.0070226810263536,1
65.0,0.9995285125812696,True,False,0.9670732502500026,0.0135490595066752,1
73.0,0.9999503697453967,True,False,0.7607371342056943,0.0264032954489056,2
75.0,0.0464539183086009,False,False,0.0,0.0,0
78.0,0.0491091369298724,False,False,0.0,0.0,0
82.0,0.7485731301801578,False,False,0.0,0.0,0
83.0,0.981860141942528,False,False,0.8742909720409985,0.0,0
84.0,0.0690604992803613,False,False,0.0,0.0,0
88.0,0.003498932949526,False,False,0.0,0.0,0
