id_institution_subnet,ratio_active,max_rel_dev,t10p7_d,t10p7_n,t10p14_d,t10p14_n,t10p21_d,t10p21_n,t10p28_d,t10p28_n,t15p7_d,t15p7_n,t15p14_d,t15p14_n,t15p21_d,t15p21_n,t15p28_d,t15p28_n,t20p7_d,t20p7_n,t20p14_d,t20p14_n,t20p21_d,t20p21_n,t20p28_d,t20p28_n,t25p7_d,t25p7_n,t25p14_d,t25p14_n,t25p21_d,t25p21_n,t25p28_d,t25p28_n,t30p7_d,t30p7_n,t30p14_d,t30p14_n,t30p21_d,t30p21_n,t30p28_d,t30p28_n,t35p7_d,t35p7_n,t35p14_d,t35p14_n,t35p21_d,t35p21_n,t35p28_d,t35p28_n,t40p7_d,t40p7_n,t40p14_d,t40p14_n,t40p21_d,t40p21_n,t40p28_d,t40p28_n,t45p7_d,t45p7_n,t45p14_d,t45p14_n,t45p21_d,t45p21_n,t45p28_d,t45p28_n,t50p7_d,t50p7_n,t50p14_d,t50p14_n,t50p21_d,t50p21_n,t50p28_d,t50p28_n,t55p7_d,t55p7_n,t55p14_d,t55p14_n,t55p21_d,t55p21_n,t55p28_d,t55p28_n,t60p7_d,t60p7_n,t60p14_d,t60p14_n,t60p21_d,t60p21_n,t60p28_d,t60p28_n,S_p7,S_p7_test,S_p14,S_p14_test,S_p21,S_p21_test,S_p28,S_p28_test
340.0,0.9962281006501563,0.9636501983066147,True,8,True,2,False,0,False,0,True,7,True,2,False,0,False,0,True,6,False,1,False,0,False,0,True,5,False,0,False,0,False,0,True,4,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,0.75586711594725,0.75586711594725,0.22645507187874148,0.15159476000715574,0.09521843444333128,0.000835137566548953,0.0010534927048678352,0.000835137566548953
248.0,0.9998014789815872,2.802486379550139,True,8,True,4,True,2,True,2,True,7,True,4,True,2,False,1,True,6,True,4,True,2,False,1,True,6,True,4,True,2,False,1,True,6,True,3,True,2,False,1,True,7,True,4,True,2,False,0,True,7,True,4,True,2,False,0,True,7,True,4,True,2,False,0,True,7,True,4,True,2,False,0,True,7,True,4,True,2,False,0,True,7,True,4,False,0,False,0,1.890415581480718,0.9605413006515425,1.0683087793561183,0.6423781612661136,0.5995301003914225,0.5995301003914225,0.30037957662307363,0.14602333462815134
48.0,0.9995533277085712,3.3433309209056814,True,9,True,4,True,3,True,2,True,10,True,5,True,3,False,1,True,10,True,6,True,4,False,1,True,11,True,4,False,1,False,1,True,10,True,4,False,1,False,1,True,9,True,4,False,1,False,0,True,8,True,4,False,1,False,0,True,8,True,3,False,1,False,0,True,8,True,3,False,1,False,0,True,8,True,3,False,1,False,0,True,8,True,3,False,1,False,0,2.9580172417522306,0.8802934443747441,0.9561875330455605,0.7642780519319115,0.9321870926726931,0.22205494975913845,0.34965318667227197,0.10627330158491233
110.0,0.8905652885999306,2.9984551174125214,True,10,True,6,True,3,True,3,True,9,True,5,True,3,True,3,True,9,True,4,True,3,True,3,True,9,True,3,True,3,True,2,True,9,True,3,True,3,False,0,True,7,True,3,True,2,False,0,True,6,True,3,False,1,False,0,True,5,True,3,False,0,False,0,True,5,True,3,False,0,False,0,True,5,True,2,False,0,False,0,True,5,False,1,False,0,False,0,2.5938603338024793,0.6273584576642869,0.755963210169066,0.5844708197549936,0.4426144915248992,0.35173943154289583,0.26155036242974794,0.26155036242974794
308.0,0.9577646533326716,2.916931825813714,True,10,True,7,True,6,False,2,True,13,True,7,True,6,False,0,True,13,True,7,True,6,False,0,True,14,True,7,True,5,False,0,True,14,True,7,True,4,False,0,True,14,True,7,True,4,False,0,True,14,True,6,True,4,False,0,True,13,True,6,True,3,False,0,True,12,True,6,True,3,False,0,True,11,True,5,True,3,False,0,True,11,True,5,True,3,False,0,1.9443686315020836,1.183266763306512,0.9734394711177548,0.922271466593122,0.94220943575707,0.6944889556149421,0.13753629905109477,0.03823825220694594
314.0,0.9362251228348801,0.935211998875278,True,9,True,5,False,1,False,0,True,9,True,3,False,1,False,0,True,8,True,2,False,0,False,0,True,7,True,1,False,0,False,0,True,4,True,1,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,0.8004851476800787,0.8004851476800787,0.34336738552371426,0.34336738552371426,0.16716018496179208,0.05149098076813213,0.03693200396958802,0.0007588381876464632
206.0,1.0,0.7352934971865969,True,7,True,3,True,1,False,0,True,7,True,2,False,0,False,0,True,4,False,1,False,0,False,0,True,3,False,1,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.4263564151964918,0.41970414787308463,0.2561259221354388,0.18094186761971895,0.10187433340828303,0.10187433340828303,0.0684852847419828,0.0684852847419828
332.0,0.9729763263685542,1.0939744465531545,True,12,True,4,False,0,False,0,True,11,True,3,False,0,False,0,True,9,True,2,False,0,False,0,True,8,False,0,False,0,False,0,True,7,False,0,False,0,False,0,True,6,False,0,False,0,False,0,True,4,False,0,False,0,False,0,True,4,False,0,False,0,False,0,True,4,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,0.936621860049663,0.936621860049663,0.24727153880546954,0.24727153880546954,0.0316547763858997,0.0021864012937536843,0.031109613470316995,0.0021864012937536843
468.0,0.9267457442056678,1.0523013837461948,True,11,True,4,False,0,False,0,True,10,True,4,False,0,False,0,True,9,True,4,False,0,False,0,True,9,True,3,False,0,False,0,True,8,True,1,False,0,False,0,True,6,False,0,False,0,False,0,True,4,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,0.8214016567157585,0.8214016567157585,0.3243765396911272,0.3243765396911272,0.05563893065190415,0.05266033671583067,0.003214557779042065,0.0010985225352327659
464.0,0.9999503697453967,0.5737465443924805,True,4,True,3,False,1,False,0,True,5,True,1,False,0,False,0,True,3,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.4524150779742857,0.4524150779742857,0.2992990255439167,0.2992990255439167,0.12216324308520149,0.039737065532070945,0.010971584528324052,0.0017256771032359355
247.0,0.9999503697453967,1.9667674742646775,True,7,True,5,True,4,True,4,True,8,True,5,True,3,True,2,True,8,True,5,True,3,True,2,True,8,True,4,True,3,True,2,True,9,True,5,True,3,True,1,True,8,True,4,True,3,True,1,True,8,True,4,True,2,False,0,True,7,True,2,False,1,False,0,True,5,False,1,False,1,False,0,True,5,False,1,False,1,False,0,True,5,False,1,False,0,False,0,1.287097231311208,1.287097231311208,0.7684310932081236,0.4989262333379117,0.5953575777099663,0.4109951552905457,0.3920407994242123,0.3920407994242123
331.0,0.9914635962082485,0.8567243582737738,True,12,True,4,False,0,False,0,True,8,True,2,False,0,False,0,True,7,True,1,False,0,False,0,True,5,True,1,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.41314020120641953,0.41314020120641953,0.2615128780061476,0.2615128780061476,0.059336539127921625,0.059336539127921625,0.0009946376434080975,0.00046848484745135174
