id_ip,ratio_active,max_rel_dev,t10p7_d,t10p7_n,t10p14_d,t10p14_n,t10p21_d,t10p21_n,t10p28_d,t10p28_n,t15p7_d,t15p7_n,t15p14_d,t15p14_n,t15p21_d,t15p21_n,t15p28_d,t15p28_n,t20p7_d,t20p7_n,t20p14_d,t20p14_n,t20p21_d,t20p21_n,t20p28_d,t20p28_n,t25p7_d,t25p7_n,t25p14_d,t25p14_n,t25p21_d,t25p21_n,t25p28_d,t25p28_n,t30p7_d,t30p7_n,t30p14_d,t30p14_n,t30p21_d,t30p21_n,t30p28_d,t30p28_n,t35p7_d,t35p7_n,t35p14_d,t35p14_n,t35p21_d,t35p21_n,t35p28_d,t35p28_n,t40p7_d,t40p7_n,t40p14_d,t40p14_n,t40p21_d,t40p21_n,t40p28_d,t40p28_n,t45p7_d,t45p7_n,t45p14_d,t45p14_n,t45p21_d,t45p21_n,t45p28_d,t45p28_n,t50p7_d,t50p7_n,t50p14_d,t50p14_n,t50p21_d,t50p21_n,t50p28_d,t50p28_n,t55p7_d,t55p7_n,t55p14_d,t55p14_n,t55p21_d,t55p21_n,t55p28_d,t55p28_n,t60p7_d,t60p7_n,t60p14_d,t60p14_n,t60p21_d,t60p21_n,t60p28_d,t60p28_n,S_p7,S_p7_test,S_p14,S_p14_test,S_p21,S_p21_test,S_p28,S_p28_test
1804229.0,0.01965358082286962,3.4285714285714293,True,5,False,2,False,1,False,1,True,5,False,2,False,1,False,1,True,5,False,1,False,1,False,1,True,3,False,1,False,1,False,1,False,2,False,1,False,1,False,1,False,2,False,1,False,1,False,1,False,2,False,1,False,1,False,0,False,1,False,1,False,1,False,0,False,1,False,1,False,1,False,0,False,1,False,1,False,1,False,0,False,1,False,1,False,1,False,0,3.428571428571428,0.2515300289192279,0.8525432678204751,0.007166936373996694,0.6099265886499928,0.004820030936256238,0.3852519931585071,0.0030845175766641047
1681669.0,0.01970321107747283,3.428571428571429,True,9,False,2,False,1,False,1,True,8,False,2,False,1,False,1,True,6,False,1,False,1,False,1,False,4,False,1,False,1,False,1,False,3,False,1,False,1,False,1,False,2,False,1,False,1,False,1,False,2,False,1,False,1,False,1,False,2,False,1,False,1,False,1,False,2,False,1,False,1,False,1,False,2,False,1,False,1,False,1,False,2,False,1,False,1,False,1,3.428571428571429,0.217342607454967,1.0094591895880725,0.012549813085265281,0.6217303822937624,0.012549813085265281,0.6217303822937624,0.004964282445443022
1786188.0,0.01965358082286962,3.428571428571429,True,11,False,3,False,1,False,1,True,10,False,1,False,1,False,1,True,7,False,1,False,1,False,1,True,7,False,1,False,1,False,1,False,5,False,1,False,1,False,1,False,4,False,1,False,1,False,1,False,4,False,1,False,1,False,1,False,3,False,1,False,1,False,0,False,2,False,1,False,1,False,0,False,2,False,1,False,1,False,0,False,2,False,1,False,1,False,0,3.4285714285714275,0.27012382744816876,0.9359013719658447,0.02384708083905664,0.9359013719658447,0.02384708083905664,0.41551301299964194,0.002965813384901369
1572545.0,0.14174400714675667,2.1719635678112112,True,8,True,8,True,4,True,3,True,9,True,9,True,4,True,3,True,10,True,9,True,3,True,2,True,12,True,8,True,2,True,1,True,12,True,7,True,2,True,1,True,13,True,6,True,2,True,1,True,12,True,6,True,2,True,1,True,12,True,5,True,2,True,1,True,10,True,5,True,2,True,1,True,10,True,5,True,2,True,1,True,10,True,5,True,2,True,1,1.4605199118327166,1.0785879540632823,0.9654777848897149,0.7537124960385011,0.7186071245224698,0.7186071245224698,0.7186071245224698,0.7186071245224698
168060.0,0.1314953595711946,3.427766207371276,True,9,True,4,True,4,True,2,True,7,True,4,True,4,True,2,True,8,True,4,True,3,True,2,True,8,True,4,True,3,True,2,True,8,True,4,True,3,True,2,True,8,True,5,True,4,True,2,True,8,True,5,True,3,True,2,True,8,True,4,True,3,True,2,True,8,True,4,True,3,True,2,True,8,True,4,True,3,True,2,True,10,True,6,True,3,False,1,2.7972800648199385,2.0798275769122507,1.3228896584776058,1.3228896584776058,0.9817748638216717,0.9817748638216717,0.8883205206291072,0.5584610869569291
1783666.0,0.018884311876519927,3.4285714285714293,True,12,False,1,False,1,False,1,True,7,False,1,False,1,False,1,False,3,False,1,False,1,False,1,False,4,False,1,False,1,False,0,False,1,False,1,False,1,False,0,False,1,False,1,False,1,False,0,False,1,False,1,False,1,False,0,False,1,False,1,False,1,False,0,False,1,False,1,False,1,False,0,False,1,False,1,False,0,False,0,False,1,False,1,False,0,False,0,3.428571428571428,0.1973285757881641,0.6134813973810267,0.09264165038501315,0.5063605388805452,0.0008917074326619562,0.20160355288979553,0.0008917074326619562
165547.0,0.02312769864509405,3.428571428571429,True,5,True,4,True,3,True,3,True,5,True,5,True,4,True,3,True,5,True,5,True,3,True,2,True,5,True,5,True,3,True,2,True,6,True,5,True,3,True,2,True,6,True,4,True,3,True,2,True,7,True,4,True,2,True,2,True,7,True,4,True,2,True,2,True,7,True,4,True,2,True,2,True,7,True,4,True,2,True,2,True,7,True,4,True,2,True,2,3.2187160021794643,3.2187160021794643,1.0,1.0,1.0,1.0,1.0,1.0
175742.0,0.5685145664797261,1.7312741124549185,True,12,True,7,True,4,True,2,True,13,True,6,True,3,False,1,True,11,True,5,False,2,False,1,True,11,True,5,False,2,False,1,True,11,True,4,False,1,False,0,True,10,True,4,False,0,False,0,True,9,True,3,False,0,False,0,True,8,True,2,False,0,False,0,True,7,True,1,False,0,False,0,True,5,True,1,False,0,False,0,True,3,True,1,False,0,False,0,0.8769876800169905,0.8043988464051293,0.6924595528016304,0.6924595528016304,0.30789142164674765,0.15580654704447572,0.2714582369166078,0.13553980121976184
556848.0,0.12102337584991811,3.4271986872759705,True,6,True,5,True,5,True,4,True,6,True,5,True,5,True,4,True,7,True,5,True,5,True,4,True,6,True,4,True,4,True,4,True,6,True,4,True,4,True,4,True,7,True,5,True,5,True,4,True,6,True,5,True,5,True,4,True,7,True,5,True,5,True,3,True,7,True,5,True,5,True,3,True,7,True,5,True,5,True,2,True,7,True,5,True,5,True,2,3.3770674559432616,3.2648580525854483,1.0,1.0,1.0,1.0,0.9862904863128309,0.9862904863128309
1771837.0,0.01851208496699588,3.4285714285714293,True,6,True,2,False,1,False,1,True,6,True,2,False,1,False,1,True,4,True,2,False,1,False,1,True,3,True,2,False,1,False,1,True,3,True,2,False,1,False,1,True,3,True,2,False,1,False,0,True,3,True,2,False,1,False,0,False,2,False,1,False,1,False,0,False,2,False,1,False,1,False,0,False,2,False,1,False,1,False,0,False,1,False,1,False,1,False,0,3.4285714285714284,0.4443248696821927,1.4417646540184834,0.4379546781205621,0.612120798456202,0.010422915197499862,0.3270337901477448,0.0063967830935082745
