id_institution,ratio_active,max_rel_dev,t10p7_d,t10p7_n,t10p14_d,t10p14_n,t10p21_d,t10p21_n,t10p28_d,t10p28_n,t15p7_d,t15p7_n,t15p14_d,t15p14_n,t15p21_d,t15p21_n,t15p28_d,t15p28_n,t20p7_d,t20p7_n,t20p14_d,t20p14_n,t20p21_d,t20p21_n,t20p28_d,t20p28_n,t25p7_d,t25p7_n,t25p14_d,t25p14_n,t25p21_d,t25p21_n,t25p28_d,t25p28_n,t30p7_d,t30p7_n,t30p14_d,t30p14_n,t30p21_d,t30p21_n,t30p28_d,t30p28_n,t35p7_d,t35p7_n,t35p14_d,t35p14_n,t35p21_d,t35p21_n,t35p28_d,t35p28_n,t40p7_d,t40p7_n,t40p14_d,t40p14_n,t40p21_d,t40p21_n,t40p28_d,t40p28_n,t45p7_d,t45p7_n,t45p14_d,t45p14_n,t45p21_d,t45p21_n,t45p28_d,t45p28_n,t50p7_d,t50p7_n,t50p14_d,t50p14_n,t50p21_d,t50p21_n,t50p28_d,t50p28_n,t55p7_d,t55p7_n,t55p14_d,t55p14_n,t55p21_d,t55p21_n,t55p28_d,t55p28_n,t60p7_d,t60p7_n,t60p14_d,t60p14_n,t60p21_d,t60p21_n,t60p28_d,t60p28_n,S_p7,S_p7_test,S_p14,S_p14_test,S_p21,S_p21_test,S_p28,S_p28_test
283.0,0.0,0.0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267.0,0.0,0.0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138.0,0.9960295796317435,0.7977251673495633,True,6,True,3,False,2,False,0,True,4,True,3,False,1,False,0,True,4,False,2,False,0,False,0,True,3,False,2,False,0,False,0,False,2,False,1,False,0,False,0,False,1,False,0,False,0,False,0,False,1,False,0,False,0,False,0,False,1,False,0,False,0,False,0,False,1,False,0,False,0,False,0,False,1,False,0,False,0,False,0,False,1,False,0,False,0,False,0,0.6258986093338256,0.29260535119972264,0.31201695641878274,0.15201963814438313,0.17740013552879935,0.03628175014338644,0.0008107878927364617,0.00018315005671285612
137.0,0.9999007394907936,0.7887602203202408,True,8,True,3,True,1,False,0,True,6,True,2,False,0,False,0,True,4,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,0.631346176080003,0.631346176080003,0.39619759073945665,0.39619759073945665,0.10962483681830874,0.10962483681830874,0.03985021196671288,0.009103979485079796
13.0,0.9986351679984118,0.7357352151933495,True,8,True,3,False,0,False,0,True,7,True,2,False,0,False,0,True,3,True,2,False,0,False,0,True,3,True,2,False,0,False,0,True,3,True,1,False,0,False,0,True,1,True,1,False,0,False,0,True,1,True,1,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,0.6470718095747207,0.6470718095747207,0.4392804722138878,0.4392804722138878,0.08169262352628594,0.05469965953441782,0.01661298449188483,0.009200666720962349
207.0,0.660355352622959,0.947250228092144,True,15,True,4,False,0,False,0,True,9,True,2,False,0,False,0,True,7,True,1,False,0,False,0,True,7,True,1,False,0,False,0,True,6,False,0,False,0,False,0,True,4,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,0.9044740094766371,0.9044740094766371,0.2891246589840754,0.2891246589840754,0.06116447168802953,0.06116447168802953,0.05534206476407875,0.05534206476407875
198.0,0.9999503697453967,0.9111222113920292,True,7,True,4,True,3,False,0,True,5,True,4,True,2,False,0,True,4,True,3,True,2,False,0,True,4,True,2,True,2,False,0,True,4,True,2,False,0,False,0,True,3,True,2,False,0,False,0,True,3,True,2,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.5957224669547617,0.5957224669547617,0.44179293203624087,0.40246973011324433,0.2776085206820386,0.2776085206820386,0.021513067391394945,0.002227084279050651
147.0,1.0,0.906413160480629,True,11,True,3,False,0,False,0,True,8,True,2,False,0,False,0,True,7,True,2,False,0,False,0,True,3,True,1,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,0.6027597582824654,0.6027597582824654,0.2858091338365499,0.2858091338365499,0.02006412928152746,0.002274359635332342,0.002274359635332342,0.002274359635332342
40.0,0.9999255546180952,0.8346514015932992,True,10,True,5,True,1,False,0,True,9,True,5,False,0,False,0,True,8,True,3,False,0,False,0,True,7,False,0,False,0,False,0,True,5,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,False,1,False,0,False,0,False,0,False,1,False,0,False,0,False,0,False,1,False,0,False,0,False,0,0.6239367544878449,0.47980068206996174,0.2357559916633129,0.2021360631106036,0.13026962681962506,0.13026962681962506,0.05888034921181894,0.0017426798343627358
1.0,1.0,0.8574297287407759,True,9,True,4,False,1,False,0,True,8,True,2,False,1,False,0,True,7,True,1,False,0,False,0,True,4,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.35986331111875813,0.35986331111875813,0.23277522950923152,0.23277522950923152,0.1831516147241398,0.0824405597473981,0.06221236990376357,0.03482585067997933
142.0,0.9991562856717455,1.2761312156434665,True,10,False,2,False,1,False,0,True,7,False,2,False,1,False,0,True,6,False,1,False,1,False,0,True,6,False,1,False,1,False,0,True,5,False,1,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,0.7187701710015271,0.7187701710015271,0.33005963905477625,0.06827134332217552,0.2539929765043772,0.019300204671973856,0.019300204671973856,0.019300204671973856
179.0,0.9999751848726984,0.44968904814554267,True,5,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.3603552377995773,0.3603552377995773,0.09923426857882349,0.09923426857882349,0.061274335606134704,0.012379724611702558,0.027013523261881407,0.0017449552038872418
42.0,0.9975929326517445,0.8835118039745192,True,10,True,3,False,1,False,0,True,7,True,3,False,0,False,0,True,6,True,3,False,0,False,0,True,5,True,1,False,0,False,0,True,4,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.5779992087237016,0.5779992087237016,0.28914918500347003,0.28914918500347003,0.12835350010072086,0.044124530344928074,0.041176669363550376,0.0021001448709503418
154.0,0.9999503697453967,0.8873158905040519,True,11,True,5,True,1,False,0,True,9,True,3,True,1,False,0,True,7,True,1,True,1,False,0,True,5,True,1,True,1,False,0,True,4,True,1,False,0,False,0,True,4,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,1,True,1,False,0,False,0,True,1,True,1,False,0,False,0,0.7980350302676023,0.7980350302676023,0.6706859632948048,0.6706859632948048,0.2500817521556288,0.2500817521556288,0.0011017108969908068,0.0004893455131018602
180.0,0.9998759243634919,0.4579287175692681,True,4,True,2,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.2770789141464502,0.2689765865478132,0.11661103700511234,0.11661103700511234,0.05746172600601853,0.0022356291023811633,0.00047167068211269764,0.000192228525043366
112.0,0.9991314705444438,0.9000544934290274,True,12,True,3,False,0,False,0,True,11,True,1,False,0,False,0,True,7,True,1,False,0,False,0,True,6,True,1,False,0,False,0,True,5,True,1,False,0,False,0,True,3,True,1,False,0,False,0,True,3,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,0.8662954386611393,0.8662954386611393,0.4719756995795579,0.4719756995795579,0.042813769209784025,0.0013708495294493346,0.0013708495294493346,0.0013708495294493346
93.0,0.9999751848726984,0.9274410942136727,True,9,True,2,False,0,False,0,True,9,True,2,False,0,False,0,True,7,False,0,False,0,False,0,True,5,False,0,False,0,False,0,True,4,False,0,False,0,False,0,True,4,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,0.8780786560006059,0.8780786560006059,0.1846241272242254,0.1846241272242254,0.005611337281098924,0.0027492095050918896,0.0027492095050918896,0.0027492095050918896
111.0,0.9994788823266664,0.5442425908415287,True,6,True,1,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,False,2,False,0,False,0,False,0,False,1,False,0,False,0,False,0,False,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.3625944885400808,0.22903341416349296,0.10180457426418447,0.10180457426418447,0.06489787339599976,0.021626789824538032,0.008445136603493426,0.008445136603493426
252.0,0.683607126904561,0.7041013822548412,True,7,True,3,False,0,False,0,True,6,True,3,False,0,False,0,True,6,True,2,False,0,False,0,True,4,False,1,False,0,False,0,True,4,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,0.6002852170440416,0.6002852170440416,0.25298954660039635,0.23905477807475997,0.08592164939147905,0.052739132218670076,0.07511264971367115,0.0036579786738529917
149.0,0.8175591840786143,0.9825788300116008,True,7,True,3,False,0,False,0,True,5,True,2,False,0,False,0,True,5,True,1,False,0,False,0,True,5,True,1,False,0,False,0,True,4,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,0.9032765633879141,0.9032765633879141,0.2576204958795588,0.2576204958795588,0.04061290786982877,0.03202740540931585,0.04061290786982877,0.00028736833423987664
164.0,1.0,0.7975514951461243,True,6,True,5,True,1,False,0,True,6,True,2,True,1,False,0,True,2,True,2,False,0,False,0,True,2,True,2,False,0,False,0,True,3,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,1,True,1,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,0.6948138021608481,0.6948138021608481,0.5208745848809782,0.5208745848809782,0.1792677153079212,0.1792677153079212,0.039362980357060706,0.0006052980056694743
99.0,0.9362251228348801,0.935211998875278,True,9,True,5,False,1,False,0,True,9,True,3,False,1,False,0,True,8,True,2,False,0,False,0,True,7,True,1,False,0,False,0,True,4,True,1,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,0.8004851476800787,0.8004851476800787,0.34336738552371426,0.34336738552371426,0.16716018496179208,0.05149098076813213,0.03693200396958802,0.0007588381876464632
46.0,0.9497741823415554,0.7239604220173722,True,10,True,3,True,1,False,0,True,6,True,2,False,0,False,0,True,5,True,1,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.5909165030051405,0.5909165030051405,0.24834178108503854,0.24834178108503854,0.11660958148595083,0.11660958148595083,0.0023616551280650926,0.0023616551280650926
132.0,0.9917117474812646,0.8532482821125283,True,10,True,3,True,2,False,0,True,8,True,3,True,1,False,0,True,7,True,2,True,1,False,0,True,6,True,2,True,1,False,0,True,4,True,1,True,1,False,0,True,3,True,1,False,0,False,0,True,3,True,1,False,0,False,0,True,3,True,1,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,0.7393068887426844,0.7393068887426844,0.4889598045852335,0.4889598045852335,0.30008727910223243,0.30008727910223243,0.0024571262889027815,0.00039466649637645107
80.0,1.0,0.4255794511711433,True,8,True,3,True,1,False,0,True,4,False,1,False,0,False,0,True,2,False,1,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.3599117674975088,0.3599117674975088,0.21426095073271992,0.14220190385356357,0.10415614051277056,0.10415614051277056,0.01742726756051677,0.01742726756051677
210.0,1.0,0.7266265994693938,True,7,True,2,True,1,False,0,True,4,True,2,True,1,False,0,True,4,True,2,True,1,False,0,True,2,True,1,True,1,False,0,True,3,True,1,False,0,False,0,True,3,True,1,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.5338684897835251,0.5338684897835251,0.3640790343215905,0.3640790343215905,0.27807717948180866,0.27807717948180866,0.021111391686701734,0.021111391686701734
225.0,0.9996029579631743,1.1279835353443137,True,7,True,3,True,1,False,0,True,4,True,2,True,1,False,0,True,3,True,2,True,1,False,0,True,3,True,2,False,0,False,0,True,2,True,2,False,0,False,0,True,2,True,2,False,0,False,0,True,2,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,2,False,0,False,0,False,0,0.841044476073396,0.841044476073396,0.56413777653497,0.56413777653497,0.24484760250739104,0.24484760250739104,0.08508110895953187,0.08508110895953187
