id_institution,ratio_active,max_rel_dev,t10p7_d,t10p7_n,t10p14_d,t10p14_n,t10p21_d,t10p21_n,t10p28_d,t10p28_n,t15p7_d,t15p7_n,t15p14_d,t15p14_n,t15p21_d,t15p21_n,t15p28_d,t15p28_n,t20p7_d,t20p7_n,t20p14_d,t20p14_n,t20p21_d,t20p21_n,t20p28_d,t20p28_n,t25p7_d,t25p7_n,t25p14_d,t25p14_n,t25p21_d,t25p21_n,t25p28_d,t25p28_n,t30p7_d,t30p7_n,t30p14_d,t30p14_n,t30p21_d,t30p21_n,t30p28_d,t30p28_n,t35p7_d,t35p7_n,t35p14_d,t35p14_n,t35p21_d,t35p21_n,t35p28_d,t35p28_n,t40p7_d,t40p7_n,t40p14_d,t40p14_n,t40p21_d,t40p21_n,t40p28_d,t40p28_n,t45p7_d,t45p7_n,t45p14_d,t45p14_n,t45p21_d,t45p21_n,t45p28_d,t45p28_n,t50p7_d,t50p7_n,t50p14_d,t50p14_n,t50p21_d,t50p21_n,t50p28_d,t50p28_n,t55p7_d,t55p7_n,t55p14_d,t55p14_n,t55p21_d,t55p21_n,t55p28_d,t55p28_n,t60p7_d,t60p7_n,t60p14_d,t60p14_n,t60p21_d,t60p21_n,t60p28_d,t60p28_n,S_p7,S_p7_test,S_p14,S_p14_test,S_p21,S_p21_test,S_p28,S_p28_test
186.0,0.9998511461744567,1.4137093127603613,True,8,True,3,True,1,True,1,True,5,True,2,True,1,True,1,True,4,True,2,True,1,True,1,True,3,True,2,True,1,True,1,True,3,True,1,True,1,True,1,True,3,True,1,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,False,1,False,0,False,0,False,0,False,1,False,0,False,0,False,0,False,1,False,0,False,0,False,0,0.9399139953796907,0.4560428130452974,0.3600891933925995,0.3600891933925995,0.3147388021785763,0.3147388021785763,0.3147388021785763,0.3147388021785763
256.0,0.9970229234891337,1.9307912361535475,True,9,True,7,False,2,False,2,True,8,True,6,False,2,False,2,True,8,True,4,False,2,False,1,True,8,True,4,False,2,False,1,True,7,True,4,False,2,False,0,True,6,False,3,False,2,False,0,True,5,False,3,False,2,False,0,True,5,False,2,False,2,False,0,True,5,False,2,False,1,False,0,True,4,False,1,False,0,False,0,True,4,False,1,False,0,False,0,1.7165727076652895,0.701142633641555,0.6695118617549002,0.3288795443251748,0.5461801024181376,0.010028598700072437,0.2562553712281576,0.0030120212382474818
198.0,0.9998511461744567,0.9111222113920293,True,8,True,4,True,3,False,0,True,5,True,4,True,2,False,0,True,4,True,3,True,2,False,0,True,4,True,2,True,2,False,0,True,4,True,2,False,0,False,0,True,3,True,2,False,0,False,0,True,3,True,2,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.5969838112195817,0.5969838112195817,0.4425976994957932,0.4024697301132444,0.27798955220510047,0.2777932841827084,0.02454217888741414,0.017515642658249182
189.0,0.9998511461744567,1.1698109951702997,True,10,True,4,False,1,False,0,True,7,True,4,False,0,False,0,True,6,False,3,False,0,False,0,True,6,False,2,False,0,False,0,True,5,False,1,False,0,False,0,True,3,False,1,False,0,False,0,True,3,False,1,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,0.8578356342134729,0.8578356342134729,0.40708542624859606,0.18417932708065007,0.1381551578765906,0.04210096915589392,0.01624073563641712,0.0008471870657076215
80.0,0.9998511461744567,0.4242741469868509,True,8,True,3,True,1,False,0,True,4,False,1,False,0,False,0,True,2,False,1,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.3604884916675394,0.3604884916675394,0.21473012286294837,0.14256193460296632,0.10456108737039682,0.10456108737039682,0.01819634221766757,0.01819634221766757
249.0,0.9998511461744567,0.9337826800230773,True,12,True,5,True,2,True,1,True,9,True,3,True,2,False,0,True,7,True,3,True,1,False,0,True,7,True,3,False,0,False,0,True,6,False,1,False,0,False,0,True,4,False,1,False,0,False,0,True,4,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,0.8202452670464079,0.8202452670464079,0.39155818299642936,0.2795926030899196,0.23431206072108463,0.23431206072108463,0.10324774853565961,0.10324774853565961
115.0,0.9998511461744567,1.0101795073578579,True,10,True,5,False,0,False,0,True,9,True,4,False,0,False,0,True,8,True,3,False,0,False,0,True,7,True,2,False,0,False,0,True,5,True,2,False,0,False,0,True,4,True,2,False,0,False,0,True,4,True,2,False,0,False,0,True,4,True,1,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,0.8648854623018704,0.8648854623018704,0.4792917644548346,0.4792917644548346,0.03922686681030694,0.024229956741991927,0.024229956741991927,0.024229956741991927
112.0,0.9997022923489134,0.8986822444142821,True,12,True,3,False,0,False,0,True,11,True,1,False,0,False,0,True,7,True,1,False,0,False,0,True,6,True,1,False,0,False,0,True,5,True,1,False,0,False,0,True,3,True,1,False,0,False,0,True,3,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,0.8663068224863585,0.8663068224863585,0.47541200578209386,0.47541200578209386,0.046573899140623064,0.0027100623614878124,0.007725950745234747,0.0027100623614878124
72.0,0.997171777314677,0.979327911382083,True,9,True,3,False,1,False,0,True,6,False,2,False,0,False,0,True,6,False,2,False,0,False,0,True,5,False,1,False,0,False,0,True,5,False,0,False,0,False,0,True,4,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,0.8339749902889274,0.7024940600824636,0.2756384741952851,0.11016809351998724,0.11766822877934924,0.01226484803871058,0.03253806995035519,0.01226484803871058
124.0,0.9998511461744567,0.9073950643548662,True,9,True,5,False,2,False,0,True,9,True,5,False,1,False,0,True,9,False,1,False,0,False,0,True,6,False,0,False,0,False,0,True,4,False,0,False,0,False,0,True,2,False,0,False,0,False,0,False,1,False,0,False,0,False,0,False,1,False,0,False,0,False,0,False,1,False,0,False,0,False,0,False,1,False,0,False,0,False,0,False,1,False,0,False,0,False,0,0.7076071582619284,0.38844192276841405,0.22091284889875268,0.17804523545034842,0.1565153213283359,0.062327492882790686,0.02260974383337215,0.008241280205100066
