id_institution_subnet,ratio_active,max_rel_dev,t10p7_d,t10p7_n,t10p14_d,t10p14_n,t10p21_d,t10p21_n,t10p28_d,t10p28_n,t15p7_d,t15p7_n,t15p14_d,t15p14_n,t15p21_d,t15p21_n,t15p28_d,t15p28_n,t20p7_d,t20p7_n,t20p14_d,t20p14_n,t20p21_d,t20p21_n,t20p28_d,t20p28_n,t25p7_d,t25p7_n,t25p14_d,t25p14_n,t25p21_d,t25p21_n,t25p28_d,t25p28_n,t30p7_d,t30p7_n,t30p14_d,t30p14_n,t30p21_d,t30p21_n,t30p28_d,t30p28_n,t35p7_d,t35p7_n,t35p14_d,t35p14_n,t35p21_d,t35p21_n,t35p28_d,t35p28_n,t40p7_d,t40p7_n,t40p14_d,t40p14_n,t40p21_d,t40p21_n,t40p28_d,t40p28_n,t45p7_d,t45p7_n,t45p14_d,t45p14_n,t45p21_d,t45p21_n,t45p28_d,t45p28_n,t50p7_d,t50p7_n,t50p14_d,t50p14_n,t50p21_d,t50p21_n,t50p28_d,t50p28_n,t55p7_d,t55p7_n,t55p14_d,t55p14_n,t55p21_d,t55p21_n,t55p28_d,t55p28_n,t60p7_d,t60p7_n,t60p14_d,t60p14_n,t60p21_d,t60p21_n,t60p28_d,t60p28_n,S_p7,S_p7_test,S_p14,S_p14_test,S_p21,S_p21_test,S_p28,S_p28_test
545.0,0.13426615064007144,1.0,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,0,False,1,False,1,False,1,False,0,False,1,False,1,False,1,False,0,1.0,0.0,1.0,0.0,1.0,0.0,0.4858563916018548,0.0
433.0,0.9998511461744567,1.1698109951702997,True,10,True,4,False,1,False,0,True,7,True,4,False,0,False,0,True,6,False,3,False,0,False,0,True,6,False,2,False,0,False,0,True,5,False,1,False,0,False,0,True,3,False,1,False,0,False,0,True,3,False,1,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,0.8578356342134729,0.8578356342134729,0.40708542624859606,0.18417932708065007,0.1381551578765906,0.04210096915589392,0.01624073563641712,0.0008471870657076215
543.0,0.8200357249181304,3.4285714285714293,True,11,True,5,False,1,False,1,True,8,True,5,False,1,False,1,True,6,True,4,False,1,False,1,True,5,True,4,False,1,False,1,True,5,True,3,False,1,False,1,True,5,True,3,False,1,False,1,True,3,True,3,False,1,False,1,True,3,True,2,False,1,False,1,True,3,True,2,False,1,False,1,True,3,True,2,False,1,False,1,True,3,True,2,False,1,False,1,3.428571428571428,1.4466711373786596,1.24601352546635,0.8154389936563455,1.0873581808424653,0.06897494836152311,0.6345383810063819,0.011988663925366051
546.0,0.349955343852337,1.467220154594904,True,4,True,1,True,1,True,1,True,5,True,2,True,2,False,1,True,3,True,2,True,2,False,1,True,3,True,2,True,2,False,1,True,4,True,2,True,2,False,1,True,4,True,2,True,2,False,1,True,4,True,2,True,2,False,1,True,4,True,2,True,2,False,1,True,4,True,2,True,2,False,1,True,4,True,2,True,2,False,1,True,4,True,2,True,2,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.5653439153439154,0.12676056338028158
76.0,0.6155105686216136,0.8839855544695709,True,11,True,3,True,2,False,0,True,11,True,3,True,1,False,0,True,7,True,1,True,1,False,0,True,5,True,1,True,1,False,0,True,3,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,2,True,1,False,0,False,0,True,1,True,1,False,0,False,0,True,1,True,1,False,0,False,0,True,1,True,1,False,0,False,0,False,0,False,0,False,0,False,0,0.5875791406428641,0.5875791406428641,0.563342952419611,0.563342952419611,0.29109090953636907,0.29109090953636907,0.023148532842180488,0.023148532842180488
205.0,0.9998511461744567,0.5693083839797648,True,7,False,1,False,0,False,0,True,6,False,0,False,0,False,0,True,5,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.371252565314375,0.3679605616779525,0.14149926485242018,0.027209350171744192,0.012885010701729992,0.004274490755707425,0.012885010701729992,0.0019603471300210515
492.0,0.06445370646025603,1.1519018404461108,False,7,False,3,False,2,False,1,False,6,False,3,False,2,False,1,False,5,False,3,False,2,False,1,False,5,False,2,False,2,False,1,False,5,False,2,False,2,False,1,False,4,False,2,False,2,False,0,False,3,False,2,False,1,False,0,False,4,False,1,False,1,False,0,False,2,False,1,False,1,False,0,False,1,False,1,False,1,False,0,False,1,False,1,False,1,False,0,1.0,0.0,1.0,0.0,1.0,0.0,0.3046992506034237,0.0
356.0,0.9998511461744567,0.5327324600966454,True,7,True,2,False,0,False,0,True,5,True,2,False,0,False,0,True,3,True,1,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.49010728771036693,0.49010728771036693,0.21921235102084113,0.21921235102084113,0.07995804763425944,0.07995804763425944,0.034773984291017884,0.034773984291017884
150.0,0.9992557308722834,0.7970030199349785,True,7,True,1,False,0,False,0,True,7,True,1,False,0,False,0,True,5,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.5655662745667714,0.5655662745667714,0.17185585349756557,0.17185585349756557,0.018297688158489887,0.011431838405808987,0.006312764655547311,0.001333270454197228
219.0,0.9697826734147068,0.3700130044129144,True,10,True,1,False,0,False,0,True,3,False,0,False,0,False,0,False,1,False,0,False,0,False,0,False,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.2568907809740799,0.16360353369622907,0.11761133989909238,0.11761133989909238,0.08676328431218214,0.08676328431218214,0.074922205046181,0.074922205046181
199.0,0.9682941351592735,0.7414532757466379,True,9,True,3,False,1,False,0,True,7,False,1,False,1,False,0,True,5,False,1,False,1,False,0,True,4,False,1,False,1,False,0,True,2,False,1,False,1,False,0,False,1,False,1,False,1,False,0,False,1,False,1,False,1,False,0,False,1,False,1,False,1,False,0,False,1,False,1,False,1,False,0,False,1,False,1,False,1,False,0,False,1,False,1,False,1,False,0,0.7137589316263353,0.331632264306428,0.6603463722885446,0.1345098751443457,0.6603463722885446,0.011646414542733803,0.0044404022909177296,0.0006716118192770928
513.0,0.2514141113426615,1.8306718766333716,True,11,True,5,True,4,False,1,True,10,True,4,True,3,False,1,True,11,True,4,True,3,False,0,True,9,True,4,True,2,False,0,True,9,True,4,True,2,False,0,True,10,True,3,True,1,False,0,True,8,True,2,True,1,False,0,True,7,True,2,False,0,False,0,True,3,True,2,False,0,False,0,True,3,True,2,False,0,False,0,True,2,True,2,False,0,False,0,1.2982385051623917,1.2982385051623917,0.716045979512194,0.716045979512194,0.41685818659895724,0.41685818659895724,0.18221707274708268,0.014755146330555836
397.0,0.9998511461744567,0.8743985084916912,True,11,True,3,False,1,False,1,True,10,True,3,False,1,False,0,True,9,True,2,False,0,False,0,True,5,False,0,False,0,False,0,True,4,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,1,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.5161680333666312,0.5161680333666312,0.24248505410281032,0.2335761902420907,0.16728216767711512,0.018680662234660434,0.11792583619117246,0.018680662234660434
181.0,0.9998511461744567,0.7376725517208415,True,7,True,3,False,0,False,0,True,5,True,2,False,0,False,0,True,4,True,2,False,0,False,0,True,4,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,False,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.5365328377729005,0.45145615369411535,0.21725479245866597,0.21725479245866597,0.0639161798237618,0.0639161798237618,0.015854203220794415,0.004758999586014283
